Farmacia Couto;41.12602318135809;-8.605955531399854;106
R. Jau;41.133084879288305;-8.608172601952143;70
Farmacia Avenida;41.161055812889686;-8.643675839379844;71
Rua do Lugarinho;41.167888050319945;-8.630194059624268;98
Praca de Mouzinho de Albuquerque;41.15768394569584;-8.627847730787982;93
Rua do Campo Alegre;41.15279617107651;-8.63105360195154;86
R. de Cedofeita;41.15467922938928;-8.619233032644386;90
Praca de Carlos Alberto;41.14810375816036;-8.615808701951735;92
Farmacia Sa;41.167041075301704;-8.611830508818398;133
Farmacia Sa da Bandeira;41.14836804695638;-8.607986860850794;87
R. de Alexandre Herculano;41.14367140304442;-8.603382931307017;80
Rua de Santa Catarina;41.15350375308275;-8.604749200100699;120
Rua do Heroismo;41.146044338677996;-8.594915331399427;98
Praca ve De Abril;41.17162590440591;-8.612821032643897;132
