Farmacia Couto;41.12602318135809;-8.605955531399854;106
R. Jau 35;41.133084879288305;-8.608172601952143;70
Praceta de Henrique Moreira 244;41.14100875862109;-8.63505713753358;84
Av. Serpa Pinto 487;41.18235757267395;-8.692289037532266;12
Rua de Alfredo Cunha 155;41.18462801423773;-8.682098790904755;35
Av. Dr. Oscar Lopes;41.20910900772668;-8.68730854427651;48
Farmacia Guifoes;41.200189029735604;-8.666100201950039;74
R. Eng. Duarte Pacheco;41.23343888975812;-8.621524573112385;107
Farmacia Sousa Torres;41.219820130755664;-8.560865701949428;83
Rua das Macieiras;41.202635495918955;-8.545010117296407;138
Farmacia Marques da Cunha;41.197648033901935;-8.499586301950103;152
Avenida 5 de Outubro;41.19002285591423;-8.497578355322872;143
Farmacia Central (Valongo);41.18996227536467;-8.497869635698384;143
Urbanização Mãos à Obra 6;41.192750174635904;-8.575893501950265;143
R. Sara Afonso;41.1809213529221;-8.654576301950634;84
Praça Afranio Peixoto 100;41.17264492173813;-8.65498001729736;75
Farmacia Avenida;41.161055812889686;-8.643675839379844;71
Rua do Lugarinho 324;41.167888050319945;-8.630194059624268;98
Praça de Mouzinho de Albuquerque 113;41.15768394569584;-8.627847730787982;93
Rua do Campo Alegre 254;41.15279617107651;-8.63105360195154;86
R. de Cedofeita 451;41.15467922938928;-8.619233032644386;90
Praça de Carlos Alberto 109;41.14810375816036;-8.615808701951735;92
Farmacia Sa;41.167041075301704;-8.611830508818398;133
Farmacia Sa da Bandeira;41.14836804695638;-8.607986860850794;87
R. de Alexandre Herculano 134;41.14367140304442;-8.603382931307017;80
Rua de Santa Catarina;41.15350375308275;-8.604749200100699;120
Rua do Heroísmo 329;41.146044338677996;-8.594915331399427;98
Rua Faia nº13, entrada nº5;41.144418929022414;-8.575210973115155;16
R. Bairro do Comercio do Porto 149;41.163765329552675;-8.584188325264888;123
R. das Merces 152;41.171213359990794;-8.58823820195092;149
Praça ve De Abril 49A;41.17162590440591;-8.612821032643897;132
R. Pedro Jose Ferreira 221;41.15406513060009;-8.547032073114845;85
Farmacia de Fanzeres;41.16125876175987;-8.53142638660481;94
